Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
概况,gai4kuang4,nom ," situation générale,aperçu approximatif ",概況 
概念,gai4nian4,nom,concept,概念 
大概,da4gai4,adjectif ; adverbe ," approximatif,probablement ",大概 
一概,yi1gai4,adverbe ," uniformément,sans exception ",一概 
资本,zi1ben2,nom,capital,資本 
资金,zi1jin1,nom ," fonds,capitaux ",資金 
工资,gong1zi1,nom,salaire,工資 
资助,zi1zhu1,verbe,subventionner,資助 
资源,zi1yuan2,nom,ressource,資源 
物资,wu4zi1,nom,matériaux,物資 
资料,zi1liao4,nom,document,資料 
资格,zi1ge,nom ," qualification,aptitude ",資格 
优,you1,adjectif ," excellent,supérieur ",優 
优点,you1dian3,nom,qualité,優點 
优先,you1xian1,nom,priorité,優先 
优秀,you1xiu4,adjectif,remarquable,優秀 
录,lu4,verbe ," prendre note,inscrire ; enregistrer ; recruter,admettre ",錄 
记录,ji4lu4,verbe ," prendre note,inscrire ",紀錄 
录音,lu4yin1,verbe,enregistrer (son),錄音 
录像,lu4xiang4,verbe,enregistrer (vidéo),錄像 
录取,lu4qu3,verbe,recruter,錄取 
套,tao4,nom de mesure ," ensemble,série ",套 
套餐,tao4can1,nom,menu,套餐 
套房,tao4fang2,nom,appartement,套房 
逛,guang4,nom,se promener ; visiter,逛 
逛街,guang4jie1,verbe,se promener dans les rues,逛街 
即,ji2,conjonction ," c'est-à-dire,à savoir ; même si ",即 
即使,ji2shi3,conjonction,même si,即使 
拥,yong1,verbe,prendre dans les bras ; entourer ; affluer ; posséder,擁 
拥抱,yong1bao4,verbe ," serrer,tenir dans ses bras ",擁抱 
拥挤,yong1ji3,adjectif ," encombré,bondé ",擁擠 
拥有,yong1you3,verbe,posséder,擁有 
属,shu3,verbe ," appartenir à ; subordonné à ; subordonné,subalterne ",屬 
属于,shu3yu2,verbe,appartenir à,屬於 
下属,xia4shu3,nom ," subordonné,subalterne ",下屬 
属相,shu3xiang,nom,zodiaque,屬相 
浮,fu2,verbe ; adjectif ," flotter ; léger,frivole ",浮 
漂浮,paio1fu2,verbe ," flotter,surnager ",漂浮 
浮现,fu2xian4,verbe,revenir à l'esprit,浮現 
轻浮,qing1fu2,qualificatif ," léger,frivole,étourdi ",輕浮 
余,yu2,verbe ; adjectif ," laisser,rester ; en surplus ",餘 
剩余,sheng1yu2,nom ," surplus,excédent ",剩餘 
其余,qi2yu2,pronom,le reste,其餘 
年年有余,nian2nian2you3yu2,expression,il y a du surplus chaque année,年年有餘 
短暂,duan3zan4,adjectif,de courte durée,短暫 
暂时,zan4shi2,adverbe,temporairement,暫時 
暂停,zan4ting2,verbe ," suspendre,arrêt momentané ",暫停 
款,kuan3,nom ," somme (argent) ; modèle,forme ",款 
公款,gong1kuan3,nom,fonds publics,公款 
存款,cun2kuan3,verbe ," déposer de l'argent,déépôt en banque ",存款 
款式,kuan3shi4,nom ," modèle,forme ",款式 
新款,xin1kuan3,nom,nouveau modèle,新款 
巨,ju4,adjectif,grand,巨 
巨大,ju4da4,adjectif ," immense,énorme ",巨大 
巨人,ju4ren2,verbe ," empêcher,arrêter,bloquer ",巨人 
阻碍,zu3'ai4,verbe ," empêcher,gêner ",阻礙 
碍事,ai4shi4,adjectif ," gênant,encombrant ",礙事 
奏,zou4,verbe,jouer (musique),奏 
演奏,yan3zou4,verbe,jouer de la musique,演奏 
节奏,jie2zou4,nom,rythme,節奏 
降,jiang4,verbe ," baisser,tomber ",降 
下降,xia4jiang4,verbe,baisser,下降 
降低,jiang4di1,verbe ," réduire,baisser ",降低 
迫使,po4shi3,verbe ," forcer,obliger ",迫使 
被迫,bei4po4,verbe,être obliger,被迫 
迫不得已,po4bu4de2yi3,verbe,être forcer de faire qqch.,迫不得已 
急迫,ji2po4,adjectif ," urgent,pressant ",急迫 
紧迫,jin3po4,adjectif ," urgent,pressant ",緊迫 
迫近,po4jin4,verbe ," approche,être imminent ",迫近 
舍,she3,verbe,abandonner,捨 
舍得,she3de2,verbe,abandonner de bon gré,捨得 
舍不得,she3bude,verbe,ne pouvoir se résoudre à,捨不得 
舍己为人,she3ji3wei2ren2,verbe,se sacrifier pour les autres,捨己為人 
斗,dou4,verbe,avoir peur,鬥 
奋斗,fen4dou4,verbe ," travailler dur,lutter ",奮鬥 
斗争,dou4zheng1,nom,lutte,斗争 
斗牛,dou4niu1,nom,tauromachine,斗牛 
充,chong1,adjectif ; verbe,plein ; remplir,充 
充实,chong1shi2,adjectif ," riche,plein ",充实 
充满,chong1man3,verbe ," être rempli de,être plein de ",充滿 
充电,chong1dian4,verbe,recharger,充電 
称,cheng1,verbe ; nom ," appeler,nommer ; appellation ; peser ",稱 
称为,cheng1wei2,verbe,appeler,稱為 
称呼,cheng1hu,verbe,appeler,稱呼 
简称,jian3cheng1,nom,abbrévation,簡稱 
逃,tao2,verbe,s'enfuir,逃 
逃跑,tao2pao4,verbe,s'enfuir,逃跑 
逃课,tao2ke4,verbe,sécher les cours,逃课 
供,gong1,verbe,fournir,供 
